,Date,Open,High,Low,Close,Adj Close,Volume,Day,Month,Year,Predicted using Facebook model,Predicted using Intel model,Predicted using Microsoft model,Predicted using Google model,Predicted using Apple model
93,2014-11-20,62.75,65.110001,62.060001,64.940002,64.940002,2583100,20,11,2014,64.06925663888995,64.02988377727836,64.2759791706309,64.0017256619497,64.506405149274
94,2014-11-21,71.0,72.25,66.75,66.93,66.93,6509500,21,11,2014,69.09852656047502,68.71442868684586,68.83698539190488,67.80512641531017,69.24676927018899
95,2014-11-24,66.949997,68.400002,65.760002,66.959999,66.959999,2519900,24,11,2014,67.18963433606598,67.11942813905192,67.2736905027127,66.91322157656948,67.55331695286219
96,2014-11-25,66.900002,67.870003,65.010002,65.629997,65.629997,1872300,25,11,2014,66.2810700576938,66.16062115790722,66.26932012929342,65.99515007516318,66.60323184787572
97,2014-11-26,65.660004,68.110001,64.889999,68.010002,68.010002,1683800,26,11,2014,66.98294150332003,66.93330431892686,67.19451227151006,66.8661541960433,67.39533859757854
98,2014-11-28,68.07,68.209999,66.849998,67.099998,67.099998,659900,28,11,2014,67.19801433444539,67.1686295710079,67.19603646749204,67.09870618840985,67.53954766517808
99,2014-12-01,66.889999,67.0,63.5,63.73,63.73,1853900,1,12,2014,64.66045556094238,64.39245156601442,64.3914891928878,64.86874072429512,64.94805845358091
100,2014-12-02,63.919998,64.139999,62.189999,63.189999,63.189999,1628800,2,12,2014,62.85541392750065,62.75983641256626,62.77067818034885,63.290414385287505,63.25358870216779
101,2014-12-03,63.5,64.050003,62.459998999999996,63.630001,63.630001,1118800,3,12,2014,63.152820628731234,63.1178177628249,63.16398959360208,63.73964215968179,63.597600106199565
102,2014-12-04,63.700001,65.559998,62.950001,64.029999,64.029999,1348100,4,12,2014,64.61571921103834,64.57016646261846,64.75068267872899,65.18593778258578,65.09142497263346
103,2014-12-05,64.199997,66.510002,63.959998999999996,65.849998,65.849998,1459100,5,12,2014,65.81721681720944,65.8070107167995,66.03319780816202,66.40396064449962,66.32154874994424
104,2014-12-08,67.959999,67.959999,62.490002000000004,62.810001,62.810001,1940600,8,12,2014,64.24900316378833,63.79528462727788,63.79122010785946,63.95673806323083,64.4064990787132
105,2014-12-09,61.290001000000004,62.720001,59.619999,62.610001000000004,62.610001000000004,2506300,9,12,2014,61.22081326491255,61.12247851319049,61.26245946026127,61.31326071296671,61.642964697340375
106,2014-12-10,62.209998999999996,62.860001000000004,58.91,59.52,59.52,1965100,10,12,2014,60.42909086006989,60.19566288018376,60.25986322403506,60.36958153842895,60.74825586309532
